"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Bankura","49.6 (2017)"
"Jalpaiguri","44.2 (2017)"
"Koch Bihar","47.3 (2017)"
"Dakshin Dinajpur","52 (2017)"
"Birbhum","51.3 (2017)"
"Hugli","55.6 (2017)"
"Haora","54.3 (2017)"
"Maldah","53.4 (2017)"
"Murshidabad","58.7 (2017)"
"Nadia","56.5 (2017)"
"North Twenty Four Parganas","54.1 (2017)"
"Kolkata","67.3 (2017)"
"Paschim Medinipur","61.4 (2017)"
"Purba Medinipur","63.3 (2017)"
"Uttar Dinajpur","42.4 (2017)"
"Puruliya","46.9 (2017)"
"South Twenty Four Parganas","61.8 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
