"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Tawang","35.9 (2017)"
"West Kameng","26.6 (2017)"
"East Kameng","33.1 (2017)"
"Papum Pare","34.9 (2017)"
"Upper Subansiri","33.9 (2017)"
"West Siang","33.4 (2017)"
"East Siang","30.7 (2017)"
"Upper Siang","35.2 (2017)"
"Changlang","27.6 (2017)"
"Tirap","35.2 (2017)"
"Lower Subansiri","35.6 (2017)"
"Kurung Kumey","36 (2017)"
"Dibang Valley","31.3 (2017)"
"Lower Dibang Valley","33.1 (2017)"
"Lohit","28.9 (2017)"
"Anjaw","33.4 (2017)"
