"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Tawang","34.7 (2017)"
"West Kameng","28.1 (2017)"
"East Kameng","34.3 (2017)"
"Papum Pare","34.9 (2017)"
"Upper Subansiri","34.6 (2017)"
"West Siang","33.4 (2017)"
"East Siang","29.7 (2017)"
"Upper Siang","33.4 (2017)"
"Changlang","28 (2017)"
"Tirap","35.4 (2017)"
"Lower Subansiri","34 (2017)"
"Kurung Kumey","38.6 (2017)"
"Dibang Valley","31.2 (2017)"
"Lower Dibang Valley","30.6 (2017)"
"Lohit","30.6 (2017)"
"Anjaw","32.6 (2017)"
