"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Barpeta","54.9 (2017)"
"Cachar","57.6 (2017)"
"Bongaigaon","57.6 (2017)"
"Baksa","46.9 (2017)"
"Kokrajhar","56.2 (2017)"
"Dhubri","55.8 (2017)"
"Goalpara","45 (2017)"
"Morigaon","56.8 (2017)"
"Nagaon","52.9 (2017)"
"Sonitpur","37.7 (2017)"
"Lakhimpur","53.1 (2017)"
"Dhemaji","39.1 (2017)"
"Tinsukia","41.4 (2017)"
"Dibrugarh","45 (2017)"
"Sivasagar","39.6 (2017)"
"Jorhat","42 (2017)"
"Golaghat","39.2 (2017)"
"Karbi Anglong","44 (2017)"
"Dima Hasao","54.6 (2017)"
"Karimganj","51.9 (2017)"
"Hailakandi","61.6 (2017)"
"Chirang","49 (2017)"
"Kamrup","52.8 (2017)"
"Kamrup Metropolitan","46.8 (2017)"
"Nalbari","51.7 (2017)"
"Darrang","46.3 (2017)"
"Udalguri","43.5 (2017)"
