"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Araria","46.8 (2017)"
"Banka","41.1 (2017)"
"Aurangabad","45.2 (2017)"
"Arwal","47.8 (2017)"
"Katihar","43.4 (2017)"
"Darbhanga","38.4 (2017)"
"Gopalganj","46.1 (2017)"
"Begusarai","55.5 (2017)"
"Khagaria","47.3 (2017)"
"Bhagalpur","43.9 (2017)"
"Bhojpur","38.5 (2017)"
"Buxar","44.6 (2017)"
"Kaimur","47.1 (2017)"
"Gaya","43.1 (2017)"
"Jamui","47.1 (2017)"
"Jehanabad","44.5 (2017)"
"Pashchim Champaran","44.1 (2017)"
"Purba Champaran","45.8 (2017)"
"Madhubani","44.9 (2017)"
"Kishanganj","44.5 (2017)"
"Madhepura","45.1 (2017)"
"Muzaffarpur","44 (2017)"
"Munger","43.5 (2017)"
"Lakhisarai","53.3 (2017)"
"Nalanda","43.7 (2017)"
"Patna","50.9 (2017)"
"Nawada","44.4 (2017)"
"Sheohar","47.7 (2017)"
"Sitamarhi","47.9 (2017)"
"Supaul","54.2 (2017)"
"Purnia","41.3 (2017)"
"Saharsa","48 (2017)"
"Siwan","38.4 (2017)"
"Saran","42 (2017)"
"Vaishali","40.6 (2017)"
"Samastipur","44.1 (2017)"
"Sheikhpura","44.7 (2017)"
"Rohtas","45.5 (2017)"
