"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Koriya","34.9 (2017)"
"Jashpur","39.2 (2017)"
"Raigarh","33.9 (2017)"
"Korba","27.2 (2017)"
"Janjgir-Champa","31.1 (2017)"
"Bilaspur","33.9 (2017)"
"Kabeerdham","37.8 (2017)"
"Durg","35.7 (2017)"
"Raipur","29.9 (2017)"
"Mahasamund","33.3 (2017)"
"Dhamtari","28.7 (2017)"
"Bastar","37.7 (2017)"
"Narayanpur","35.9 (2017)"
"Dantewada","35.2 (2017)"
"Bijapur","30.2 (2017)"
"Surguja","59.8 (2017)"
"Rajnandgaon","34.9 (2017)"
"Uttar Bastar Kanker","30.1 (2017)"
