"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Koriya","35.5 (2017)"
"Jashpur","33.2 (2017)"
"Raigarh","31.2 (2017)"
"Korba","27 (2017)"
"Janjgir-Champa","30.8 (2017)"
"Bilaspur","28.5 (2017)"
"Kabeerdham","37.1 (2017)"
"Durg","31.8 (2017)"
"Raipur","27.7 (2017)"
"Mahasamund","33 (2017)"
"Dhamtari","29.1 (2017)"
"Bastar","35.3 (2017)"
"Narayanpur","33.2 (2017)"
"Dantewada","27.2 (2017)"
"Bijapur","33.1 (2017)"
"Surguja","58.9 (2017)"
"Rajnandgaon","35.5 (2017)"
"Uttar Bastar Kanker","30.5 (2017)"
