"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Banas Kantha","57.6 (2017)"
"Gandhinagar","47.9 (2017)"
"Ahmadabad","47.4 (2017)"
"Amreli","45.1 (2017)"
"Bhavnagar","55.6 (2017)"
"Anand","48 (2017)"
"Dahod","61.5 (2017)"
"Bharuch","37.3 (2017)"
"Kachchh","41 (2017)"
"Patan","46.1 (2017)"
"Mahesana","52.5 (2017)"
"Sabar Kantha","43 (2017)"
"Surendranagar","45.1 (2017)"
"Rajkot","44.5 (2017)"
"Jamnagar","38.6 (2017)"
"Porbandar","44.9 (2017)"
"Junagadh","46.3 (2017)"
"Kheda","54.9 (2017)"
"Panch Mahals","59.5 (2017)"
"Narmada","37.8 (2017)"
"The Dangs","47.3 (2017)"
"Navsari","48.1 (2017)"
"Surat","47.4 (2017)"
"Tapi","44.7 (2017)"
"Vadodara","47.1 (2017)"
"Valsad","50.7 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
