"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Panchkula","37.2 (2017)"
"Ambala","31.3 (2017)"
"Kurukshetra","33.9 (2017)"
"Kaithal","35 (2017)"
"Karnal","33.3 (2017)"
"Panipat","40.5 (2017)"
"Sonipat","32 (2017)"
"Jind","37.2 (2017)"
"Fatehabad","34.9 (2017)"
"Sirsa","41.2 (2017)"
"Hisar","39.7 (2017)"
"Bhiwani","36.7 (2017)"
"Rohtak","37 (2017)"
"Jhajjar","44.6 (2017)"
"Mahendragarh","43.4 (2017)"
"Rewari","43.6 (2017)"
"Gurgaon","38.1 (2017)"
"Mewat","33.9 (2017)"
"Faridabad","35.4 (2017)"
"Palwal","38.8 (2017)"
"Yamunanagar","30.9 (2017)"
