"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Chatra","54.9 (2017)"
"Bokaro","53 (2017)"
"Garhwa","45.9 (2017)"
"Kodarma","47.5 (2017)"
"Giridih","52.7 (2017)"
"Deoghar","58.7 (2017)"
"Godda","54.8 (2017)"
"Pakur","55.4 (2017)"
"Dhanbad","60.2 (2017)"
"Lohardaga","46.8 (2017)"
"Palamu","54.5 (2017)"
"Latehar","47.5 (2017)"
"Hazaribagh","61.1 (2017)"
"Dumka","52.1 (2017)"
"Jamtara","49.1 (2017)"
"Khunti","42 (2017)"
"Gumla","41.2 (2017)"
"Sahibganj","46.6 (2017)"
"Purbi Singhbhum","40.6 (2017)"
"Ramgarh","53.1 (2017)"
"Ranchi","48.3 (2017)"
"Simdega","35.7 (2017)"
"Pashchimi Singhbhum","56.6 (2017)"
"Saraikela-kharsawan","53.7 (2017)"
