"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Badgam","13.3 (2017)"
"Baramula","40.7 (2017)"
"Bandipore","35.5 (2017)"
"Anantnag","33.2 (2017)"
"Doda","32.9 (2017)"
"Kupwara","45.9 (2017)"
"Leh(Ladakh)","31.7 (2017)"
"Kargil","27.6 (2017)"
"Punch","39.6 (2017)"
"Rajouri","38.6 (2017)"
"Kathua","39.7 (2017)"
"Srinagar","35.9 (2017)"
"Ganderbal","41.8 (2017)"
"Pulwama","15.5 (2017)"
"Shupiyan","17.1 (2017)"
"Kulgam","19.7 (2017)"
"Ramban","39.9 (2017)"
"Kishtwar","42.6 (2017)"
"Udhampur","36.4 (2017)"
"Reasi","31.4 (2017)"
"Jammu","34.4 (2017)"
"Samba","41.7 (2017)"
"Jammu & Kashmir - NA",""
