"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Badgam","43.8 (2017)"
"Baramula","40.6 (2017)"
"Bandipore","36.4 (2017)"
"Anantnag","32.5 (2017)"
"Doda","34.8 (2017)"
"Kupwara","45.2 (2017)"
"Leh(Ladakh)","31.2 (2017)"
"Kargil","27.2 (2017)"
"Punch","40.8 (2017)"
"Rajouri","39 (2017)"
"Kathua","36.5 (2017)"
"Srinagar","36.8 (2017)"
"Ganderbal","44.8 (2017)"
"Pulwama","18.1 (2017)"
"Shupiyan","16.4 (2017)"
"Kulgam","19.7 (2017)"
"Ramban","39.6 (2017)"
"Kishtwar","43.2 (2017)"
"Udhampur","35.8 (2017)"
"Reasi","31.6 (2017)"
"Jammu","33.3 (2017)"
"Samba","39.9 (2017)"
"Jammu & Kashmir - NA",""
