"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Belgaum","65.4 (2017)"
"Bagalkot","63.9 (2017)"
"Bangalore","42.7 (2017)"
"Bangalore Rural","50.6 (2017)"
"Bijapur","55.4 (2017)"
"Bidar","52.4 (2017)"
"Koppal","55.7 (2017)"
"Gadag","56.3 (2017)"
"Dharwad","55.6 (2017)"
"Haveri","50.5 (2017)"
"Bellary","58.8 (2017)"
"Chitradurga","52.4 (2017)"
"Davanagere","53.9 (2017)"
"Chikmagalur","37.1 (2017)"
"Mandya","43.8 (2017)"
"Hassan","55.3 (2017)"
"Dakshina Kannada","39.4 (2017)"
"Kodagu","40.6 (2017)"
"Mysore","43.3 (2017)"
"Chamarajanagar","47.7 (2017)"
"Gulbarga","48 (2017)"
"Kolar","43.7 (2017)"
"Chikkaballapura","39.6 (2017)"
"Raichur","52.6 (2017)"
"Uttara Kannada","49.8 (2017)"
"Shimoga","43.9 (2017)"
"Udupi","41.2 (2017)"
"Tumkur","52.5 (2017)"
"Yadgir","55.2 (2017)"
"Ramanagara","54.3 (2017)"
