"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Andhra Pradesh","50 (2017)"
"Andaman & Nicobar Islands","34 (2017)"
"Arunachal Pradesh","32.3 (2017)"
"Assam","49.3 (2017)"
"Bihar","44.6 (2017)"
"Chandigarh","46.6 (2017)"
"Chhattisgarh","36.6 (2017)"
"Gujarat","48.2 (2017)"
"Daman & Diu","31.2 (2017)"
"Dadra & Nagar Haveli","46.2 (2017)"
"Goa","33.1 (2017)"
"Haryana","37.1 (2017)"
"Jammu & Kashmir","35.3 (2017)"
"Himachal Pradesh","34.8 (2017)"
"Jharkhand","51.5 (2017)"
"Karnataka","51.3 (2017)"
"Kerala","49.7 (2017)"
"Madhya Pradesh","39.6 (2017)"
"Lakshadweep","32.3 (2017)"
"Maharashtra","40.8 (2017)"
"Manipur","40.8 (2017)"
"Meghalaya","33.3 (2017)"
"NCT of Delhi","31.9 (2017)"
"Nagaland","33.6 (2017)"
"Mizoram","37.4 (2017)"
"Odisha","42.5 (2017)"
"Punjab","29.7 (2017)"
"Puducherry","32.2 (2017)"
"Rajasthan","57 (2017)"
"Sikkim","29.7 (2017)"
"Tamil Nadu","36 (2017)"
"Telangana","37.2 (2017)"
"Tripura","37.5 (2017)"
"Uttar Pradesh","39.6 (2017)"
"Uttarakhand","39.4 (2017)"
"West Bengal","37.7 (2017)"
"Lakshadweep",""
"Lakshadweep - Pitti Island",""
