"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Dhule","47.6 (2017)"
"Buldana","44.2 (2017)"
"Akola","35.2 (2017)"
"Amravati","39.2 (2017)"
"Bhandara","34.1 (2017)"
"Gondiya","38.1 (2017)"
"Garhchiroli","48.9 (2017)"
"Chandrapur","32.5 (2017)"
"Aurangabad","45 (2017)"
"Ahmadnagar","42.7 (2017)"
"Bid","55.5 (2017)"
"Nandurbar","50.8 (2017)"
"Jalgaon","41 (2017)"
"Nagpur","36.7 (2017)"
"Nanded","38.9 (2017)"
"Hingoli","47.8 (2017)"
"Parbhani","39.3 (2017)"
"Jalna","32.3 (2017)"
"Nashik","42.9 (2017)"
"Mumbai Suburban","30 (2017)"
"Mumbai City","36.4 (2017)"
"Raigarh","40.1 (2017)"
"Pune","35.4 (2017)"
"Latur","40.7 (2017)"
"Osmanabad","42.2 (2017)"
"Kolhapur","38.1 (2017)"
"Solapur","42.7 (2017)"
"Satara","41.6 (2017)"
"Ratnagiri","39.5 (2017)"
"Sindhudurg","45.2 (2017)"
"Sangli","37.9 (2017)"
"Washim","41.6 (2017)"
"Wardha","38.4 (2017)"
"Yavatmal","34.2 (2017)"
"Thane","38.8 (2017)"
