"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Bhind","36.2 (2017)"
"Datia","36.7 (2017)"
"Chhatarpur","44.9 (2017)"
"Damoh","42.3 (2017)"
"Dewas","42.7 (2017)"
"Dhar","37.4 (2017)"
"Barwani","37.8 (2017)"
"Bhopal","42.7 (2017)"
"Betul","36.1 (2017)"
"Dindori","35.2 (2017)"
"Chhindwara","36.1 (2017)"
"Balaghat","40.2 (2017)"
"Ashoknagar","44.2 (2017)"
"Anuppur","39.3 (2017)"
"Alirajpur","33.4 (2017)"
"Burhanpur","50.8 (2017)"
"Morena","41 (2017)"
"Gwalior","34.5 (2017)"
"Panna","31.9 (2017)"
"Sagar","50.2 (2017)"
"Satna","38.9 (2017)"
"Rewa","39.8 (2017)"
"Neemuch","46.6 (2017)"
"Mandsaur","36.2 (2017)"
"Ratlam","37.3 (2017)"
"Shajapur","42.8 (2017)"
"Indore","37.4 (2017)"
"Rajgarh","41.4 (2017)"
"Sehore","43.5 (2017)"
"Raisen","36.1 (2017)"
"Harda","36 (2017)"
"Hoshangabad","42.7 (2017)"
"Katni","31.7 (2017)"
"Jabalpur","37.2 (2017)"
"Narsimhapur","62.4 (2017)"
"Mandla","36.2 (2017)"
"Seoni","37.7 (2017)"
"Guna","41.9 (2017)"
"Shahdol","40.2 (2017)"
"Jhabua","31.5 (2017)"
"East Nimar","38.2 (2017)"
"Sheopur","37.1 (2017)"
"Shivpuri","47.1 (2017)"
"Tikamgarh","45.1 (2017)"
"Umaria","35.3 (2017)"
"Ujjain","34 (2017)"
"West Nimar","37.8 (2017)"
"Vidisha","33.6 (2017)"
"Sidhi","36.3 (2017)"
"Singrauli","32.5 (2017)"
