"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Bhind","37.2 (2017)"
"Datia","37.1 (2017)"
"Chhatarpur","43.9 (2017)"
"Damoh","41.4 (2017)"
"Dewas","42.3 (2017)"
"Dhar","35 (2017)"
"Barwani","36.8 (2017)"
"Bhopal","42.5 (2017)"
"Betul","35.8 (2017)"
"Dindori","33.8 (2017)"
"Chhindwara","34.9 (2017)"
"Balaghat","40.1 (2017)"
"Ashoknagar","44.6 (2017)"
"Anuppur","37.2 (2017)"
"Alirajpur","30.8 (2017)"
"Burhanpur","47.7 (2017)"
"Morena","42.1 (2017)"
"Gwalior","34.5 (2017)"
"Panna","30.6 (2017)"
"Sagar","49.3 (2017)"
"Satna","37.9 (2017)"
"Rewa","38.1 (2017)"
"Neemuch","44.8 (2017)"
"Mandsaur","37.3 (2017)"
"Ratlam","36.4 (2017)"
"Shajapur","43 (2017)"
"Indore","38.8 (2017)"
"Rajgarh","40.5 (2017)"
"Sehore","43.5 (2017)"
"Raisen","35.9 (2017)"
"Harda","32.5 (2017)"
"Hoshangabad","42 (2017)"
"Katni","31.4 (2017)"
"Jabalpur","39.3 (2017)"
"Narsimhapur","60.3 (2017)"
"Mandla","35.2 (2017)"
"Seoni","36 (2017)"
"Guna","39.8 (2017)"
"Shahdol","40.1 (2017)"
"Jhabua","30.3 (2017)"
"East Nimar","37.4 (2017)"
"Sheopur","36.6 (2017)"
"Shivpuri","49 (2017)"
"Tikamgarh","45 (2017)"
"Umaria","33.8 (2017)"
"Ujjain","34.1 (2017)"
"West Nimar","38.8 (2017)"
"Vidisha","31.4 (2017)"
"Sidhi","36.9 (2017)"
"Singrauli","33.4 (2017)"
