"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Bargarh","37.3 (2017)"
"Baleshwar","48.4 (2017)"
"Bhadrak","47.6 (2017)"
"Cuttack","51.7 (2017)"
"Anugul","52.1 (2017)"
"Baudh","44.5 (2017)"
"Balangir","48.4 (2017)"
"Jharsuguda","43.4 (2017)"
"Debagarh","43.6 (2017)"
"Kendujhar","42.8 (2017)"
"Kendrapara","35.6 (2017)"
"Jagatsinghapur","61.5 (2017)"
"Jajapur","51.7 (2017)"
"Dhenkanal","41.9 (2017)"
"Khordha","40.5 (2017)"
"Ganjam","50.1 (2017)"
"Gajapati","33.6 (2017)"
"Kandhamal","35 (2017)"
"Kalahandi","37.7 (2017)"
"Koraput","30.5 (2017)"
"Sambalpur","31.2 (2017)"
"Sundargarh","41.2 (2017)"
"Mayurbhanj","35 (2017)"
"Nayagarh","44.3 (2017)"
"Puri","46.8 (2017)"
"Subarnapur","41.5 (2017)"
"Nuapada","44.7 (2017)"
"Rayagada","32.3 (2017)"
"Nabarangapur","48.8 (2017)"
"Malkangiri","47.6 (2017)"
