"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Bargarh","39.4 (2017)"
"Baleshwar","48 (2017)"
"Bhadrak","50.8 (2017)"
"Cuttack","56.2 (2017)"
"Anugul","48.4 (2017)"
"Baudh","39.9 (2017)"
"Balangir","49.2 (2017)"
"Jharsuguda","39.8 (2017)"
"Debagarh","44.9 (2017)"
"Kendujhar","40.3 (2017)"
"Kendrapara","33.8 (2017)"
"Jagatsinghapur","58.7 (2017)"
"Jajapur","53 (2017)"
"Dhenkanal","42.8 (2017)"
"Khordha","41.8 (2017)"
"Ganjam","48.5 (2017)"
"Gajapati","34 (2017)"
"Kandhamal","31.7 (2017)"
"Kalahandi","37.2 (2017)"
"Koraput","35.2 (2017)"
"Sambalpur","32.5 (2017)"
"Sundargarh","39.5 (2017)"
"Mayurbhanj","30.7 (2017)"
"Nayagarh","44.3 (2017)"
"Puri","45.7 (2017)"
"Subarnapur","37.3 (2017)"
"Nuapada","43.2 (2017)"
"Rayagada","27 (2017)"
"Nabarangapur","50.7 (2017)"
"Malkangiri","42.7 (2017)"
