"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Chennai","31.2 (2017)"
"Kancheepuram","36.8 (2017)"
"Erode","35.4 (2017)"
"Dindigul","39.2 (2017)"
"Cuddalore","36.2 (2017)"
"Kanniyakumari","35.6 (2017)"
"Dharmapuri","40.6 (2017)"
"Coimbatore","33.2 (2017)"
"Thiruvallur","39.3 (2017)"
"Salem","35.9 (2017)"
"Namakkal","35.9 (2017)"
"The Nilgiris","30.8 (2017)"
"Karur","34.5 (2017)"
"Perambalur","43.7 (2017)"
"Nagappattinam","33.2 (2017)"
"Thiruvarur","33.4 (2017)"
"Thanjavur","36.6 (2017)"
"Pudukkottai","33.4 (2017)"
"Sivaganga","36.1 (2017)"
"Madurai","33.2 (2017)"
"Theni","32.6 (2017)"
"Ramanathapuram","38 (2017)"
"Vellore","36.1 (2017)"
"Tiruvannamalai","35.5 (2017)"
"Viluppuram","43.7 (2017)"
"Tiruchirappalli","31.4 (2017)"
"Virudunagar","34.5 (2017)"
"Thoothukkudi","35.5 (2017)"
"Tirunelveli","39 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
