"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Chennai","31.2 (2017)"
"Kancheepuram","36.8 (2017)"
"Erode","35.7 (2017)"
"Dindigul","37.5 (2017)"
"Cuddalore","35.7 (2017)"
"Kanniyakumari","35.9 (2017)"
"Dharmapuri","40.4 (2017)"
"Coimbatore","33.2 (2017)"
"Thiruvallur","37.4 (2017)"
"Salem","34.3 (2017)"
"Namakkal","34.5 (2017)"
"The Nilgiris","31.1 (2017)"
"Karur","33.3 (2017)"
"Perambalur","42.9 (2017)"
"Nagappattinam","32.5 (2017)"
"Thiruvarur","32.6 (2017)"
"Thanjavur","35.2 (2017)"
"Pudukkottai","32.4 (2017)"
"Sivaganga","36.5 (2017)"
"Madurai","32.5 (2017)"
"Theni","32.7 (2017)"
"Ramanathapuram","38.9 (2017)"
"Vellore","35.1 (2017)"
"Tiruvannamalai","35.1 (2017)"
"Viluppuram","40.3 (2017)"
"Tiruchirappalli","30.9 (2017)"
"Virudunagar","33.8 (2017)"
"Thoothukkudi","35.3 (2017)"
"Tirunelveli","37.5 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
