"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Aligarh","41 (2017)"
"Agra","38.3 (2017)"
"Allahabad","38.3 (2017)"
"Ambedkar Nagar","55.3 (2017)"
"Bijnor","48.7 (2017)"
"Amroha","47.5 (2017)"
"Baghpat","39 (2017)"
"Budaun","32.5 (2017)"
"Bareilly","39.5 (2017)"
"Auraiya","51.7 (2017)"
"Banda","28.6 (2017)"
"Bara banki","49.7 (2017)"
"Bahraich","35.9 (2017)"
"Balrampur","37.4 (2017)"
"Basti","48.6 (2017)"
"Azamgarh","39 (2017)"
"Ballia","49.9 (2017)"
"Ghaziabad","36.9 (2017)"
"Gautam Buddha Nagar","35.6 (2017)"
"Bulandshahr","31.2 (2017)"
"Firozabad","31.1 (2017)"
"Farrukhabad","44.8 (2017)"
"Etawah","48.7 (2017)"
"Chitrakoot","38.2 (2017)"
"Fatehpur","52.9 (2017)"
"Faizabad","41.4 (2017)"
"Deoria","33.3 (2017)"
"Ghazipur","20 (2017)"
"Chandauli","42.1 (2017)"
"Etah","25.7 (2017)"
"Hathras","43.7 (2017)"
"Hardoi","28.2 (2017)"
"Kannauj","17.1 (2017)"
"Kanpur Dehat","46 (2017)"
"Kanpur Nagar","29.9 (2017)"
"Jalaun","51.6 (2017)"
"Jhansi","42.8 (2017)"
"Hamirpur","39.9 (2017)"
"Gonda","43.1 (2017)"
"Gorakhpur","33.8 (2017)"
"Jaunpur","49.2 (2017)"
"Kasganj","39.7 (2017)"
"Muzaffarnagar","30.8 (2017)"
"Moradabad","28.5 (2017)"
"Meerut","36.3 (2017)"
"Mathura","42.1 (2017)"
"Mainpuri","43.8 (2017)"
"Kheri","30.1 (2017)"
"Lucknow","31.6 (2017)"
"Lalitpur","45.1 (2017)"
"Mahoba","37.3 (2017)"
"Kaushambi","42.2 (2017)"
"Mahrajganj","28.8 (2017)"
"Kushinagar","39.5 (2017)"
"Mau","36.8 (2017)"
"Mirzapur","27.3 (2017)"
"Saharanpur","34.9 (2017)"
"Rampur","34.8 (2017)"
"Pilibhit","46.9 (2017)"
"Shahjahanpur","39.3 (2017)"
"Sitapur","33.7 (2017)"
"Rae Bareli","38.7 (2017)"
"Pratapgarh","44.8 (2017)"
"Sultanpur","46.1 (2017)"
"Shrawasti","32.2 (2017)"
"Siddharth Nagar","39.7 (2017)"
"Sant Kabir Nagar","39.1 (2017)"
"Sant Ravidas Nagar (Bhadohi)","47.7 (2017)"
"Sonbhadra","36.5 (2017)"
"Unnao","47.9 (2017)"
"Varanasi","24.9 (2017)"
