"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Aligarh","45.3 (2017)"
"Agra","39.9 (2017)"
"Allahabad","39 (2017)"
"Ambedkar Nagar","58.3 (2017)"
"Bijnor","46.6 (2017)"
"Amroha","49 (2017)"
"Baghpat","35.2 (2017)"
"Budaun","33.2 (2017)"
"Bareilly","39.5 (2017)"
"Auraiya","54.5 (2017)"
"Banda","27.4 (2017)"
"Bara banki","50.1 (2017)"
"Bahraich","28.5 (2017)"
"Balrampur","38.6 (2017)"
"Basti","48.7 (2017)"
"Azamgarh","42.2 (2017)"
"Ballia","50.1 (2017)"
"Ghaziabad","35.1 (2017)"
"Gautam Buddha Nagar","35.9 (2017)"
"Bulandshahr","26.6 (2017)"
"Firozabad","35.6 (2017)"
"Farrukhabad","47.4 (2017)"
"Etawah","43.4 (2017)"
"Chitrakoot","43.7 (2017)"
"Fatehpur","51.3 (2017)"
"Faizabad","39.6 (2017)"
"Deoria","31.9 (2017)"
"Ghazipur","19.8 (2017)"
"Chandauli","49.8 (2017)"
"Etah","28.4 (2017)"
"Hathras","46.1 (2017)"
"Hardoi","25.5 (2017)"
"Kannauj","14.8 (2017)"
"Kanpur Dehat","41.5 (2017)"
"Kanpur Nagar","26.3 (2017)"
"Jalaun","50.6 (2017)"
"Jhansi","37.5 (2017)"
"Hamirpur","43.1 (2017)"
"Gonda","46.3 (2017)"
"Gorakhpur","32.3 (2017)"
"Jaunpur","53.4 (2017)"
"Kasganj","34.6 (2017)"
"Muzaffarnagar","37.4 (2017)"
"Moradabad","39.1 (2017)"
"Meerut","40.2 (2017)"
"Mathura","48.3 (2017)"
"Mainpuri","45.5 (2017)"
"Kheri","26.7 (2017)"
"Lucknow","34 (2017)"
"Lalitpur","44.3 (2017)"
"Mahoba","38.7 (2017)"
"Kaushambi","43.1 (2017)"
"Mahrajganj","28 (2017)"
"Kushinagar","42.2 (2017)"
"Mau","32.5 (2017)"
"Mirzapur","28.7 (2017)"
"Saharanpur","38.4 (2017)"
"Rampur","35.5 (2017)"
"Pilibhit","44.1 (2017)"
"Shahjahanpur","41.2 (2017)"
"Sitapur","35.4 (2017)"
"Rae Bareli","41.6 (2017)"
"Pratapgarh","38.9 (2017)"
"Sultanpur","41.3 (2017)"
"Shrawasti","36.6 (2017)"
"Siddharth Nagar","42.4 (2017)"
"Sant Kabir Nagar","38.5 (2017)"
"Sant Ravidas Nagar (Bhadohi)","51.7 (2017)"
"Sonbhadra","36.8 (2017)"
"Unnao","44.6 (2017)"
"Varanasi","27 (2017)"
